title,artist,mapper,duration,bpm,hash
Deadbolt,Debisco,OST,01:41,128,DD_OST_01
Do this again,Movenchy,OST,02:22,128,DD_OST_02
EZ,Debisco,OST,02:11,140,DD_OST_03
Flashback,DeBisco,OST,02:32,128,DD_OST_04
Fly,Sly,OST,02:30,174,DD_OST_05
Get it,5tar,OST,01:51,138,DD_OST_06
Halogen,Zenpaku,OST,02:01,130,DD_OST_07
Lose Control,Sly,OST,02:05,125,DD_OST_08
Move that party,Kryzsztif Pietras,OST,03:00,160,DD_OST_09
Mystique,Zenpaku,OST,02:00,135,DD_OST_10
Part 2 You Coming Back,Abeck,OST,02:05,145,DD_OST_11
Retro space,Gennady,OST,03:12,125,DD_OST_12
Run 4 Cover,DeBisco,OST,02:03,135,DD_OST_13
The Way Of The Samurai,Dekibo,OST,02:49,98,DD_OST_14
Verity,Nokae + Zenpaku,OST,01:58,160,DD_OST_15
You'll B There,DeBisco,OST,02:21,130,DD_OST_16
