Trap Requiem,"Apashe, Tha Tricka",OST,03:33,,PW_OST_01
Religion,Black Tiger Sex Machine,OST,05:36,,PW_OST_02
Black Magic,"Lektrique, Sam Lamar",OST,02:46,,PW_OST_03
Revelations,HVDES,OST,03:27,,PW_OST_04
Arbiter,Draeden,OST,02:54,,PW_OST_05
Another Day,"Dabin, Outwild, Nevve",OST,,,PW_OST_06
Dark Skies,Draeden,OST,02:57,,PW_OST_07
The Grave feat. Gabriella Hook,"Apashe, Black Tiger Sex Machine",OST,03:49,,PW_OST_08
Full Throttle,"Lektrique, MIDNIGHT CVLT",OST,05:32,,PW_OST_09
Akuma,HVDES,OST,04:56,,PW_OST_10
The High Priestess,"Sam Lamar, CMOR",OST,02:39,,PW_OST_11
Download the Future,Black Tiger Sex Machine,OST,,,PW_OST_12
Replicants,Black Tiger Sex Machine,OST,02:41,,PW_OST_13
R U Afraid,HVDES,OST,02:13,,PW_OST_14
Lilith - Sullivan King Remix,"Dabin, Apashe, MADI, Sullivan King",OST,,,PW_OST_15
The Fall,Dabin,OST,,,PW_OST_16
Death feat. Lektrique,Black Tiger Sex Machine,OST,,,PW_OST_17
Embers feat. Jill Harries,"Dabin, Jill Harris",OST,,,PW_OST_18
Uprising,Magic Sword,OST,05:04,,PW_OST_19
Strange Creatures,Black Tiger Sex Machine,OST,03:20,,PW_OST_20
Say Ma,Processor,OST,04:19,,PW_OST_21
Sword of Truth,Magic Sword,OST,03:54,,PW_OST_22
The Way Home,Magic Sword,OST,04:15,,PW_OST_23
